Name,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Standing Strikes,Clinch Strikes,Ground Strikes,KO/TKO,DEC,SUB,Sig Str Absorbed Per Min,Sub avg Per 15 Min,Takedown Def Per 15 Min,Avg Fight Time,Sig Str Landed Per Min,Takedown Avg,Sig Str Defense,Knockdown Avg,Wins,Loss,Draws
Dvalishvili,Freestyle,33,66.00,134.00,"Dec. 9, 2017",68.00,38.00,529,127,255,3,14,1,2.31,0.29,81%,16:07,4.35,6.09,57%,0.07,18,4,0
O'Malley,Striker,30,71.00,135.00,"Jul. 18, 2017",72.00,40.00,980,21,37,12,5,1,3.48,0.29,62%,11:04,6.70,0.29,61%,0.77,18,2,0
Sterling,Kickboxer,35,67.00,145.50,"Feb. 22, 2014",71.00,39.00,816,187,234,3,13,8,2.21,0.69,43%,13:22,4.41,2.51,59%,0.00,24,5,0
Sandhagen,MMA,32,71.00,136.00,"Jan. 28, 2018",70.00,40.00,845,34,131,7,7,3,3.46,0.30,63%,14:23,5.02,1.19,57%,0.30,17,5,0
Vera,Grappler,32,68.00,136.00,"Nov. 15, 2014",70.50,40.50,1087,144,151,8,5,10,5.37,0.83,73%,13:29,4.27,0.51,50%,0.56,23,10,1
Makhachev,Sambo,33,70.00,155.00,"May. 23, 2015",70.50,40.50,253,86,110,5,9,12,1.54,1.06,91%,10:34,2.65,3.19,61%,0.35,26,1,0
Volkanovski,Freestyle Fighting Gym,36,66.00,144.50,"Oct. 15, 2016",71.50,36.00,1157,144,258,13,9,3,3.44,0.18,70%,15:49,6.16,1.78,58%,0.36,26,4,0
Oliveira,Brazilian Jiu-Jitsu,35,70.00,155.60,"Aug. 1, 2010",74.00,41.00,518,169,197,10,4,21,3.21,2.66,56%,07:38,3.40,2.25,49%,0.46,35,10,0
Tsarukyan,Kickboxer,28,67.00,156.00,"Apr. 20, 2019",72.50,39.50,331,40,154,9,8,5,1.84,0.00,75%,12:36,3.79,3.25,54%,0.32,22,3,0
Gane,Muay Thai,34,76.00,245.50,"Aug. 10, 2019",81.00,42.00,807,65,27,6,4,3,2.23,0.61,44%,14:15,5.26,0.70,62%,0.26,13,2,0
Ngannou,Striker,36,76.00,257.00,"Dec. 19, 2015",83.00,44.50,150,36,43,12,1,4,2.16,0.31,72%,07:01,2.33,0.76,42%,1.22,17,3,0
Muhammad,Wrestler,36,71.00,169.00,"Jul. 7, 2016",72.00,40.00,1070,54,117,5,18,1,3.48,0.16,89%,14:53,4.39,2.28,57%,0.00,24,3,0
